elevation;Rate of Secrete Keys;Rate of Secrete bits
15;0.12365390625;15.8277
15.5;0.2459390625;31.4802
16;0.3733421875;47.7878
16.5;0.50576328125;64.7377
17;0.6431109375;82.3182
17.5;0.7853046875;100.519
18;0.9322578125;119.329
18.5;1.0838984375;138.739
19;1.24015625;158.74
19.5;1.4009609375;179.323
20;1.56625;200.48
20.5;1.735953125;222.202
21;1.9100078125;244.481
21.5;2.08834375;267.308
22;2.27090625;290.676
22.5;2.457625;314.576
23;2.6484296875;338.999
23.5;2.8432734375;363.939
24;3.042078125;389.386
24.5;3.24478125;415.332
25;3.4513125;441.768
25.5;3.661609375;468.686
26;3.8756015625;496.077
26.5;4.09321875;523.932
27;4.314390625;552.242
27.5;4.539046875;580.998
28;4.767109375;610.19
28.5;4.998515625;639.81
29;5.2331796875;669.847
29.5;5.47103125;700.292
30;5.711984375;731.134
30.5;5.9559765625;762.365
31;6.202921875;793.974
31.5;6.452734375;825.95
32;6.70534375;858.284
32.5;6.96065625;890.964
33;7.21859375;923.98
33.5;7.4790703125;957.321
34;7.7420078125;990.977
34.5;8.00734375;1024.94
35;8.274921875;1059.19
35.5;8.5446875;1093.72
36;8.8165625;1128.52
36.5;9.09046875;1163.58
37;9.366328125;1198.89
37.5;9.643984375;1234.43
38;9.9234375;1270.2
38.5;10.20453125;1306.18
39;10.4871875;1342.36
39.5;10.77125;1378.72
40;11.05671875;1415.26
40.5;11.343515625;1451.97
41;11.631484375;1488.83
41.5;11.920546875;1525.83
42;12.210546875;1562.95
42.5;12.501484375;1600.19
43;12.79328125;1637.54
43.5;13.085703125;1674.97
44;13.378828125;1712.49
44.5;13.672421875;1750.07
45;13.96640625;1787.7
45.5;14.260703125;1825.37
46;14.5553125;1863.08
46.5;14.85;1900.8
47;15.1446875;1938.52
47.5;15.439296875;1976.23
48;15.733828125;2013.93
48.5;16.028046875;2051.59
49;16.321875;2089.2
49.5;16.615234375;2126.75
50;16.908125;2164.24
50.5;17.2003125;2201.64
51;17.491796875;2238.95
51.5;17.782421875;2276.15
52;18.07203125;2313.22
52.5;18.360703125;2350.17
53;18.648203125;2386.97
53.5;18.93453125;2423.62
54;19.219453125;2460.09
54.5;19.503046875;2496.39
55;19.785078125;2532.49
55.5;20.065546875;2568.39
56;20.344296875;2604.07
56.5;20.621328125;2639.53
57;20.89640625;2674.74
57.5;21.16953125;2709.7
58;21.440625;2744.4
58.5;21.709609375;2778.83
59;21.976328125;2812.97
59.5;22.24078125;2846.82
60;22.502734375;2880.35
60.5;22.762265625;2913.57
61;23.01921875;2946.46
61.5;23.2734375;2979
62;23.525;3011.2
62.5;23.773671875;3043.03
63;24.01953125;3074.5
63.5;24.26234375;3105.58
64;24.50203125;3136.26
64.5;24.738671875;3166.55
65;24.97203125;3196.42
65.5;25.202109375;3225.87
66;25.42875;3254.88
66.5;25.65203125;3283.46
67;25.87171875;3311.58
67.5;26.087890625;3339.25
68;26.3003125;3366.44
68.5;26.5090625;3393.16
69;26.713984375;3419.39
69.5;26.915;3445.12
70;27.1121875;3470.36
70.5;27.3053125;3495.08
71;27.494296875;3519.27
71.5;27.679296875;3542.95
72;27.86;3566.08
72.5;28.036484375;3588.67
73;28.20875;3610.72
73.5;28.3765625;3632.2
74;28.54;3653.12
74.5;28.698984375;3673.47
75;28.8534375;3693.24
75.5;29.00328125;3712.42
76;29.14859375;3731.02
76.5;29.289140625;3749.01
77;29.425078125;3766.41
77.5;29.556171875;3783.19
78;29.682578125;3799.37
78.5;29.8040625;3814.92
79;29.920703125;3829.85
79.5;30.032421875;3844.15
80;30.139140625;3857.81
80.5;30.2409375;3870.84
81;30.33765625;3883.22
81.5;30.429375;3894.96
82;30.516015625;3906.05
82.5;30.597578125;3916.49
83;30.67390625;3926.26
83.5;30.74515625;3935.38
84;30.811171875;3943.83
84.5;30.87203125;3951.62
85;30.92765625;3958.74
85.5;30.978046875;3965.19
86;31.023125;3970.96
86.5;31.06296875;3976.06
87;31.097578125;3980.49
87.5;31.126796875;3984.23
88;31.15078125;3987.3
88.5;31.169375;3989.68
89;31.182734375;3991.39
89.5;31.190703125;3992.41
90;31.193359375;3992.75
